system:index,Daytime,.geo
134,1.5891210244694136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.09234389103426]}"
135,0.25155333072529373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91310750848714,19.09234389103426]}"
136,-1.2211698252037664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91849740019185,19.09234389103426]}"
137,-3.6558710264049594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82956418706402,19.089648945181892]}"
138,-2.3366356371695716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.089648945181892]}"
139,-0.9084709947944205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.089648945181892]}"
140,-0.9084709947944205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.089648945181892]}"
141,0.15661395858000304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.089648945181892]}"
142,1.5891210244694136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89693783337299,19.089648945181892]}"
143,0.8776177564955887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.089648945181892]}"
144,-2.1352591189509624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.086953999329538]}"
145,0.37764999461602855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.086953999329538]}"
146,1.115885730351799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.086953999329538]}"
147,-0.785866406400352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.084259053477183]}"
148,0.37764999461602855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.084259053477183]}"
149,1.115885730351799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.084259053477183]}"
150,1.3492778367439016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.084259053477183]}"
151,0.40293148198576745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.084259053477183]}"
152,-1.8128206188545803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91849740019185,19.084259053477183]}"
153,-3.209114269648218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93197212945364,19.084259053477183]}"
